name,collisions
Allerton-Pelham Gardens,194
Annadale-Huguenot-Prince's Bay-Eltingville,266
Arden Heights,63
Astoria,707
Auburndale,154
Baisley Park,473
Bath Beach,191
Battery Park City-Lower Manhattan,315
Bay Ridge,638
Bayside-Bayside Hills,433
Bedford,850
Bedford Park-Fordham North,422
Bellerose,336
Belmont,249
Bensonhurst East,358
Bensonhurst West,780
Borough Park,612
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,150
Briarwood-Jamaica Hills,465
Brighton Beach,301
Bronxdale,176
Brooklyn Heights-Cobble Hill,285
Brownsville,748
Bushwick North,709
Bushwick South,1061
Cambria Heights,250
Canarsie,1039
Carroll Gardens-Columbia Street-Red Hook,566
Central Harlem North-Polo Grounds,822
Central Harlem South,486
Charleston-Richmond Valley-Tottenville,166
Chinatown,621
Claremont-Bathgate,546
Clinton,646
Clinton Hill,312
Co-op City,350
College Point,243
Corona,378
Crotona Park East,295
Crown Heights North,1604
Crown Heights South,316
Cypress Hills-City Line,566
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,891
Douglas Manor-Douglaston-Little Neck,195
Dyker Heights,359
East Concourse-Concourse Village,557
East Elmhurst,362
East Flatbush-Farragut,605
East Flushing,206
East Harlem South,615
East New York,1948
East New York (Pennsylvania Ave),581
East Tremont,451
East Village,302
East Williamsburg,834
Eastchester-Edenwald-Baychester,245
Elmhurst,643
Elmhurst-Maspeth,257
Erasmus,418
Far Rockaway-Bayswater,416
Flatbush,749
Flatlands,566
Flushing,612
Fordham South,230
Forest Hills,567
Fort Greene,539
Fresh Meadows-Utopia,174
Ft. Totten-Bay Terrace-Clearview,127
Georgetown-Marine Park-Bergen Beach-Mill Basin,425
Glen Oaks-Floral Park-New Hyde Park,168
Glendale,206
Gramercy,276
Grasmere-Arrochar-Ft. Wadsworth,216
Gravesend,284
Great Kills,194
Greenpoint,540
Grymes Hill-Clifton-Fox Hills,212
Hamilton Heights,387
Hammels-Arverne-Edgemere,291
Highbridge,394
Hollis,231
Homecrest,439
Hudson Yards-Chelsea-Flatiron-Union Square,1030
Hunters Point-Sunnyside-West Maspeth,1399
Hunts Point,884
Jackson Heights,1022
Jamaica,1008
Jamaica Estates-Holliswood,281
Kensington-Ocean Parkway,305
Kew Gardens,287
Kew Gardens Hills,284
Kingsbridge Heights,272
Laurelton,301
Lenox Hill-Roosevelt Island,621
Lincoln Square,270
Lindenwood-Howard Beach,209
Longwood,211
Lower East Side,513
Madison,272
Manhattanville,324
Marble Hill-Inwood,409
Mariner's Harbor-Arlington-Port Ivory-Graniteville,368
Maspeth,320
Melrose South-Mott Haven North,439
Middle Village,365
Midtown-Midtown South,1170
Midwood,489
Morningside Heights,265
Morrisania-Melrose,351
Mott Haven-Port Morris,659
Mount Hope,376
Murray Hill,345
Murray Hill-Kips Bay,503
New Brighton-Silver Lake,183
New Dorp-Midland Beach,356
New Springville-Bloomfield-Travis,555
North Corona,354
North Riverdale-Fieldston-Riverdale,122
North Side-South Side,762
Norwood,305
Oakland Gardens,187
Oakwood-Oakwood Beach,118
Ocean Hill,568
Ocean Parkway South,192
Old Astoria,218
Old Town-Dongan Hills-South Beach,241
Ozone Park,279
Park Slope-Gowanus,783
Parkchester,124
Pelham Bay-Country Club-City Island,152
Pelham Parkway,173
Pomonok-Flushing Heights-Hillcrest,242
Port Richmond,246
Prospect Heights,234
Prospect Lefferts Gardens-Wingate,808
Queens Village,679
Queensboro Hill,179
Queensbridge-Ravenswood-Long Island City,305
Rego Park,242
Richmond Hill,638
Ridgewood,636
Rosedale,384
Rossville-Woodrow,107
Rugby-Remsen Village,781
Schuylerville-Throgs Neck-Edgewater Park,472
Seagate-Coney Island,377
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,558
SoHo-TriBeCa-Civic Center-Little Italy,796
Soundview-Bruckner,357
Soundview-Castle Hill-Clason Point-Harding Park,320
South Jamaica,465
South Ozone Park,1011
Springfield Gardens North,234
Springfield Gardens South-Brookville,356
Spuyten Duyvil-Kingsbridge,285
St. Albans,611
Stapleton-Rosebank,337
Starrett City,118
Steinway,382
Stuyvesant Heights,747
Stuyvesant Town-Cooper Village,77
Sunset Park East,448
Sunset Park West,976
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,381
Turtle Bay-East Midtown,472
University Heights-Morris Heights,515
Upper East Side-Carnegie Hill,349
Upper West Side,627
Van Cortlandt Village,336
Van Nest-Morris Park-Westchester Square,403
Washington Heights North,413
Washington Heights South,609
West Brighton,93
West Concourse,368
West Farms-Bronx River,416
West New Brighton-New Brighton-St. George,388
West Village,585
Westchester-Unionport,299
Westerleigh,253
Whitestone,342
Williamsbridge-Olinville,478
Williamsburg,408
Windsor Terrace,169
Woodhaven,414
Woodlawn-Wakefield,387
Woodside,532
Yorkville,359
